accelerometer_m_s2[1],accelerometer_m_s2[2]
-0.24903277,-0.4189739
-0.40424666,-0.7278221
-0.5310564,-0.9610795
-0.62125075,-1.1274302
-0.69628304,-1.2388065
-0.7538836,-1.3266703
-0.74987066,-1.3228755
-0.7865351,-1.3755935
-0.8730705,-1.5224003
-0.92419016,-1.5952544
-0.91637194,-1.575164
-0.9418122,-1.6131984
-0.88529116,-1.5172423
-0.9074416,-1.5589244
-0.9162697,-1.5742159
-0.8800687,-1.5116198
-0.88935846,-1.5372037
-0.882396,-1.5155742
-0.8569259,-1.4781986
-0.8672181,-1.4972671
-0.97249305,-1.6623528
-0.9436399,-1.6247404
-0.93920845,-1.608009
-0.96581,-1.6553144
-0.909758,-1.56615
0.6508103,-3.0975707
1.1220526,-4.8378954
1.3272209,-5.35962
1.4368465,-5.6184955
1.469286,-5.671082
1.4590966,-5.629212
1.4961566,-5.7227073
1.4945346,-5.7101173
1.4817833,-5.669751
1.5351332,-5.7838798
1.5274105,-5.7811084
1.4792746,-5.6540055
1.5124403,-5.7462215
1.4813966,-5.654423
1.5183686,-5.7592964
1.4761277,-5.639433
1.5117509,-5.736945
1.5169816,-5.7591224
1.5498383,-5.807536
1.5112423,-5.744008
1.5172164,-5.7404313
1.5091734,-5.7325115
1.4864426,-5.6631575
1.5088043,-5.724025
1.5082471,-5.721222
-0.026679687,-4.8371367
0.06499915,-6.78179
0.103694476,-7.115698
0.117052525,-7.2176046
0.11803223,-7.2122464
0.11968845,-7.2500052
0.119757876,-7.1985927
0.11677316,-7.202608
0.11947946,-7.245442
0.11708801,-7.2457533
0.11983134,-7.1806145
0.122838385,-7.1544375
0.120321505,-7.181535
0.12081037,-7.210705
0.11920246,-7.189955
0.11747642,-7.2286296
0.11666331,-7.217726
0.12201561,-7.208474
0.12097557,-7.206057
0.118052706,-7.1848283
0.12030836,-7.189719
0.11975812,-7.225103
0.117752604,-7.2363405
0.119599566,-7.212279
0.11698852,-7.222293
-0.37634036,-6.3076625
-0.4171785,-8.130737
-0.41510502,-8.652955
-0.40405798,-8.735334
-0.3996633,-8.748227
-0.4005357,-8.732717
-0.39930922,-8.750552
-0.39745596,-8.744039
-0.39983323,-8.718819
-0.39539203,-8.760855
-0.39867234,-8.732927
-0.39580116,-8.752897
-0.39702156,-8.747544
-0.39682338,-8.743923
-0.3986172,-8.743618
-0.39858872,-8.731176
-0.39782354,-8.732723
-0.39871794,-8.735425
-0.3975931,-8.705005
-0.39936423,-8.727297
-0.39622065,-8.758855
-0.39766136,-8.755993
-0.39758393,-8.714881
-0.39946085,-8.728302
-0.39811516,-8.706316
0.046871148,-7.1884522
0.09807548,-9.559958
0.11099872,-10.028889
0.11519548,-10.07804
0.114828706,-10.125489
0.11506622,-10.1340475
0.115107514,-10.111996
0.1148382,-10.114466
0.11505602,-10.12503
0.1146171,-10.125172
0.11441546,-10.125229
0.11573684,-10.130695
0.11465817,-10.118779
0.11438625,-10.092144
0.11502838,-10.126977
0.11455547,-10.105303
0.114711426,-10.130873
0.114469744,-10.122521
0.11471636,-10.117359
0.11437868,-10.120436
0.11512532,-10.110656
0.1141311,-10.1025915
0.1167649,-10.140351
0.11448547,-10.112218
0.11482473,-10.108865
0.3189724,-7.9349246
0.46163577,-10.463575
0.49048635,-10.850295
0.49631867,-10.94323
0.4981201,-10.9629
0.4984484,-10.962488
0.49869603,-10.963601
0.4988002,-10.970564
0.49859598,-10.974795
0.49888813,-10.976664
0.49903303,-10.970894
0.49909264,-10.974255
0.49821475,-10.930171
0.4978942,-10.947917
0.4975398,-10.959391
0.4977947,-10.966127
0.4983198,-10.958507
0.49896032,-10.978271
0.499064,-10.977531
0.49912778,-10.974896
0.4979344,-10.96902
0.49778458,-10.963657
0.49807933,-10.97391
0.49810857,-10.96853
0.49798548,-10.970125
-0.48209038,-8.300985
-0.56117445,-10.711058
-0.5528776,-11.2240095
-0.54258364,-11.294193
-0.53633374,-11.32252
-0.53338796,-11.333415
-0.5304726,-11.342969
-0.5298623,-11.344615
-0.5308134,-11.336818
-0.5297099,-11.343322
-0.53116375,-11.318671
-0.5315735,-11.331267
-0.52957165,-11.3406515
-0.5290681,-11.3459425
-0.5280555,-11.350198
-0.5304047,-11.331089
-0.5295322,-11.339877
-0.5290679,-11.345599
-0.5303009,-11.334836
-0.5288539,-11.346769
-0.5308498,-11.324171
-0.5286864,-11.349127
-0.5256989,-11.355948
-0.52856845,-11.34711
-0.52882165,-11.345555
0.42787948,-9.199423
0.58671284,-11.980971
0.61934996,-12.451824
0.5871901,-12.607471
0.5909766,-12.61234
0.5797192,-12.627887
0.578579,-12.62885
0.5845108,-12.616696
0.5826428,-12.622375
0.56182104,-12.6471615
0.557687,-12.649436
0.5643292,-12.635179
0.5753183,-12.62789
0.5655128,-12.641678
0.56909704,-12.634993
0.5645986,-12.64063
0.56600326,-12.639184
0.56751275,-12.638143
0.5808315,-12.619343
0.57654405,-12.630387
0.5824078,-12.6195135
0.58475786,-12.619323
0.5693578,-12.63802
0.56601006,-12.639674
0.5751447,-12.627938
-0.1895767,-8.283582
-0.21993643,-11.254104
-0.2142238,-11.790546
-0.20204097,-11.891118
-0.19668661,-11.934544
-0.18910356,-11.941302
-0.18232505,-11.9366455
-0.17875588,-11.956166
-0.17737933,-11.955023
-0.17525262,-11.939371
-0.17384502,-11.941775
-0.17280267,-11.956748
-0.17049883,-11.947847
-0.16981965,-11.95723
-0.16998969,-11.951172
-0.17012069,-11.951557
-0.16932002,-11.956672
-0.16879378,-11.975938
-0.16768819,-11.924728
-0.1699791,-11.953939
-0.16874059,-11.968035
-0.16819206,-11.973309
-0.16953917,-11.963169
-0.16864714,-11.969334
-0.16718458,-11.929788
-1.1975969,-8.592466
-1.6373484,-10.903674
-1.7331717,-11.296777
-1.7217664,-11.430394
-1.699793,-11.524449
-1.6850206,-11.576252
-1.6790469,-11.6041565
-1.6775866,-11.614387
-1.6757756,-11.619886
-1.6747124,-11.619624
-1.6755877,-11.621369
-1.6745726,-11.620266
-1.6742429,-11.620927
-1.6691706,-11.609386
-1.6797727,-11.622523
-1.6756516,-11.621564
-1.6738865,-11.616839
-1.6752237,-11.620423
-1.6766456,-11.619609
-1.6715808,-11.612123
-1.6800905,-11.621708
-1.6744058,-11.617693
-1.6719934,-11.612763
-1.6682813,-11.605474
-1.673594,-11.616945
-1.4066854,-8.892838
-1.9353642,-11.216065
-2.0423706,-11.530329
-2.0898237,-11.565693
-2.1074429,-11.561363
-2.1142614,-11.549796
-2.1297812,-11.53946
-2.1350725,-11.5297985
-2.1358542,-11.525241
-2.1400578,-11.520777
-2.1399806,-11.518935
-2.135416,-11.51756
-2.135823,-11.517084
-2.1368144,-11.516556
-2.1360996,-11.515115
-2.135202,-11.515277
-2.1466405,-11.513417
-2.1411808,-11.515432
-2.1465533,-11.5129595
-2.1385722,-11.5143385
-2.1440618,-11.514504
-2.1295855,-11.506445
-2.1370034,-11.515016
-2.1423466,-11.51438
-2.1388633,-11.51451
0.21036738,-4.2051826
0.23604757,-5.2143874
0.20771791,-5.291857
0.18913445,-5.3475695
0.17062199,-5.3900795
0.16579534,-5.4076567
0.16229066,-5.390813
0.16201901,-5.2686973
0.14695975,-5.3157105
0.1367579,-5.154981
0.12937935,-5.412761
0.1473859,-5.2877464
0.13395704,-5.314789
0.13689613,-5.3185153
0.12653506,-5.267666
0.13062121,-5.397637
0.1410774,-5.3354836
0.13867407,-5.2464156
0.1336611,-5.2486825
0.130342,-5.362601
0.13473551,-5.3912516
0.13387747,-5.1956
0.122462064,-5.1506205
0.10623747,-5.124023
0.10609728,-5.265885
0.18265568,-6.2293596
0.09673591,-8.606678
0.14328861,-9.072987
0.1770299,-9.32502
0.23000757,-9.470742
0.3489277,-9.400788
0.41482583,-9.456501
0.35718456,-9.864688
0.40643856,-9.81195
0.3485731,-10.102943
0.44526297,-9.793623
0.40072712,-10.046471
0.38629964,-10.137674
0.4965173,-9.72779
0.4622474,-9.934706
0.43552423,-10.092618
0.4359203,-10.112295
0.471597,-9.9976225
0.48723587,-9.966274
0.4872945,-10.008932
0.5020438,-9.974237
0.5426664,-9.784553
0.58056605,-9.59479
0.4749508,-10.123666
0.5067364,-9.988428
-1.1873968,-6.8534155
-1.9353186,-9.02815
-2.3053653,-9.514265
-2.48122,-9.557446
-2.5357025,-9.439778
-2.5672503,-9.409291
-2.5829487,-9.414496
-2.6041636,-9.568415
-2.6075509,-9.557481
-2.6136386,-9.561752
-2.6132257,-9.496582
-2.6033916,-9.480656
-2.6103597,-9.574736
-2.6085496,-9.606397
-2.6005898,-9.446221
-2.6082954,-9.509559
-2.6034586,-9.499344
-2.6087701,-9.482314
-2.621344,-9.538706
-2.5921347,-9.369291
-2.5991309,-9.431431
-2.588994,-9.351547
-2.6157112,-9.517209
-2.6068113,-9.5031395
-2.5849543,-9.331633
-0.26626173,-7.939212
-0.022835365,-10.481559
0.23613636,-11.147521
0.5003467,-11.115016
0.6792743,-11.044881
0.7945967,-10.945828
0.8094721,-11.063832
0.8447642,-11.0037365
0.8521259,-11.012652
0.84249026,-11.076193
0.8637683,-10.993634
0.84920114,-11.064038
0.8475935,-11.0687
0.8930043,-10.883545
0.84533674,-11.085331
0.87713087,-10.954552
0.85188746,-11.051304
0.84897643,-11.060665
0.83378273,-11.140198
0.8677189,-11.004169
0.85257983,-11.070229
0.8444182,-11.102737
0.837157,-11.118298
0.87135136,-10.987052
0.8537448,-11.058504
0.4087836,-7.24888
1.2117646,-9.127153
1.8052016,-9.037582
2.0292974,-9.150154
2.1454337,-9.175373
2.2226195,-9.021874
2.257602,-8.9566765
2.2756925,-8.886742
2.274583,-8.916084
2.2792888,-8.890108
2.2761931,-8.974009
2.2626173,-8.996396
2.274276,-8.909986
2.2847962,-8.791118
2.2774372,-8.919005
2.2850244,-8.8475895
2.2708175,-8.963737
2.2778203,-8.9206
2.2803729,-8.85075
2.2865334,-8.891677
2.2836514,-8.860776
2.2861724,-8.778996
2.2849596,-8.843462
2.2761447,-8.995509
2.2905638,-8.840391
1.75991,-7.174333
2.762729,-8.771937
3.0541487,-8.884767
3.1529224,-9.149989
3.1772625,-9.076248
3.1849964,-9.140594
3.1881118,-9.026781
3.188085,-9.086907
3.1900616,-9.105254
3.1909287,-9.155066
3.1851301,-9.186864
3.1913364,-9.133497
3.1819937,-9.250222
3.189515,-9.047704
3.1861174,-9.206663
3.193222,-9.039882
3.1888957,-9.0803585
3.1881468,-9.1768
3.1892068,-9.018487
3.185983,-9.03818
3.1859746,-9.106926
3.188645,-9.099601
3.1886206,-9.102895
3.186303,-9.007322
3.1883867,-9.069512
0.3716546,-9.649204
0.79951537,-12.547644
1.0709157,-13.178751
1.1815623,-13.356079
1.260326,-13.3045635
1.2855672,-13.304788
1.2680771,-13.3973875
1.2759414,-13.383809
1.308066,-13.28863
1.2515756,-13.467057
1.2898306,-13.351288
1.2695374,-13.414566
1.2748147,-13.398153
1.285369,-13.36473
1.2718714,-13.408662
1.2927185,-13.339003
1.2811319,-13.381422
1.2903628,-13.349409
1.2579771,-13.448672
1.3181448,-13.257828
1.2786084,-13.387122
1.2717198,-13.409189
1.2668407,-13.423422
1.2625618,-13.437817
1.2811304,-13.378073
2.5113156,-8.291068
3.842347,-10.478403
4.230702,-10.668707
4.370915,-10.762763
4.402589,-10.660783
4.4103165,-10.596028
4.406306,-10.575199
4.428869,-10.644714
4.4134274,-10.574243
4.4006767,-10.48424
4.455586,-10.689071
4.415904,-10.60299
4.433919,-10.6372385
4.430323,-10.68226
4.4261465,-10.586467
4.4154415,-10.596263
4.4187746,-10.583747
4.4124646,-10.523022
4.407457,-10.562801
4.447528,-10.70537
4.426056,-10.598746
4.412327,-10.573667
4.4039,-10.529924
4.4171925,-10.637442
4.434034,-10.702969
3.0718384,-4.5115848
4.820977,-5.077376
5.1832767,-5.181262
5.3131895,-5.1231523
5.3066325,-5.195857
5.3224654,-5.174772
5.31315,-5.1966486
5.2937503,-5.2455225
5.293885,-5.249217
5.327658,-5.181416
5.328446,-5.1714025
5.333362,-5.140398
5.3273935,-5.154621
5.3275833,-5.171836
5.3356376,-5.1351695
5.3080225,-5.2050176
5.3472457,-5.102251
5.314138,-5.1855073
5.334062,-5.1351585
5.3105636,-5.208897
5.3406396,-5.1319957
5.32024,-5.17177
5.3099036,-5.212307
5.338846,-5.1186557
5.3261695,-5.1512265
-2.0588586,-1.5216358
-3.1859725,-1.255607
-3.4862945,-1.3671125
-3.606876,-1.2534308
-3.6478767,-1.2043895
-3.6982496,-1.1217333
-3.6985888,-1.1292036
-3.6904154,-1.1951644
-3.7043614,-1.1267906
-3.7291453,-1.1725609
-3.7501156,-1.1229798
-3.717302,-1.1782689
-3.6988146,-1.1438289
-3.7183602,-1.1813123
-3.6637838,-1.2978847
-3.6700294,-1.3072318
-3.6769552,-1.2225846
-3.711391,-1.2689495
-3.6535637,-1.3017387
-3.667514,-1.2892978
-3.6961305,-1.1662147
-3.716226,-1.1406415
-3.694485,-1.2536825
-3.7411842,-1.2035767
-3.7375786,-1.2000322
-0.89016974,-1.0598402
-1.158154,-1.2448235
-1.3271527,-0.7120634
-1.3496351,-0.71441096
-1.3080623,-1.1925302
-1.4121772,-0.7324076
-1.3504362,-1.132957
-1.3940109,-0.88011867
-1.3276392,-1.3465749
-1.4180498,-0.97380346
-1.3794867,-1.2377003
-1.4005357,-1.0334628
-1.4007951,-0.9762799
-1.3914785,-1.1138042
-1.3666807,-1.2969353
-1.4252986,-1.0817269
-1.3734639,-1.2781978
-1.3680263,-1.3394108
-1.3748493,-1.2610978
-1.3666817,-1.2495815
-1.3805559,-1.0988879
-1.3758124,-1.2249669
-1.3624655,-1.2312608
-1.3839567,-1.1624329
-1.3872747,-1.1383631
-0.4101085,-1.1827891
-0.4975785,-1.1510409
-0.48189437,-1.0073056
-0.50994664,-0.9692043
-0.5412565,-1.2906535
-0.5921486,-1.3402404
-0.60874933,-1.2776581
-0.60150737,-1.3097206
-0.6188579,-1.383785
-0.6231966,-1.3146563
-0.63192534,-1.2657303
-0.6457986,-1.2040668
-0.63138473,-1.3768986
-0.6316278,-1.2174432
-0.63628495,-1.1870657
-0.61454535,-1.0107418
-0.63583666,-1.2143085
-0.6442583,-1.2003655
-0.646329,-1.2981213
-0.64166135,-1.2330027
-0.62497383,-1.3226119
-0.6289077,-1.3076895
-0.6401711,-1.2927711
-0.6336704,-1.3407307
-0.64837086,-1.3257495
-0.24692525,-0.81321645
-0.2873531,-0.7235806
-0.28498888,-0.61535424
-0.30115265,-0.7430628
-0.32202584,-0.90515256
-0.35321057,-0.9439457
-0.37198848,-1.0438069
-0.37886715,-1.0121844
-0.38638884,-1.0342331
-0.41971987,-0.9660139
-0.41055745,-1.0082608
-0.39840817,-1.097431
-0.42435253,-1.0473235
-0.42227316,-1.0629627
-0.4124083,-1.146115
-0.4198234,-1.1206465
-0.42160642,-1.1245407
-0.41032642,-1.1339301
-0.40766263,-1.1390948
-0.41499758,-1.1022522
-0.4128431,-0.9997653
-0.4232018,-1.0611278
-0.41487962,-1.120922
-0.4233482,-1.1583055
-0.42485994,-1.1087332
0.26978832,-0.49231726
0.45575148,-0.31335074
0.5550424,-0.27614978
0.575274,-0.28100085
0.61376834,-0.31572974
0.59096706,-0.3261087
0.6084008,-0.32601225
0.6049588,-0.329252
0.5719956,-0.31894773
0.6045774,-0.32689506
0.5833746,-0.3142444
0.57398474,-0.33911473
0.61223936,-0.31310594
0.6218146,-0.3607969
0.63330567,-0.38611543
0.5460653,-0.3551486
0.55446935,-0.31394148
0.57410634,-0.30673233
0.57728297,-0.27256733
0.60131335,-0.30807143
0.587561,-0.326586
0.5974721,-0.3122508
0.5960165,-0.3342784
0.5980313,-0.35203326
0.62305605,-0.3498325
0.11618066,-0.75427955
0.27828962,-0.56385756
0.35016292,-0.45883375
0.3658966,-0.44163603
0.36106405,-0.4543535
0.3523643,-0.46163124
0.34000894,-0.4642291
0.32792115,-0.51525694
0.30456746,-0.49158746
0.31959808,-0.48941976
0.30516052,-0.5204752
0.28595066,-0.5414374
0.27848879,-0.517284
0.27789286,-0.52471656
