accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2]
0.15805572,-0.32195795,-0.7172314
0.29867145,-0.49067974,-1.513114
0.3961721,-0.67030084,-2.0974922
0.44755855,-0.77518064,-2.346984
0.5192744,-0.8896208,-2.7487845
0.52897877,-0.9287837,-2.794861
0.5209701,-0.9373051,-2.8249915
0.5016449,-0.91894484,-2.6675966
0.513562,-0.9517611,-2.8096833
0.51198936,-0.94523185,-2.7642882
0.52056557,-0.9744038,-2.8565326
0.51819766,-0.9581021,-2.8043897
0.5201046,-0.96935713,-2.8489
0.50859195,-0.94108135,-2.7373047
0.518589,-0.9772126,-2.852809
0.5179046,-0.96604824,-2.8268983
0.52050024,-0.9760037,-2.8507152
0.5146556,-0.9744772,-2.8282816
0.5036805,-0.9437791,-2.7439291
0.50135034,-0.9414161,-2.748326
0.529132,-0.9841721,-2.8941455
0.5190208,-0.9736205,-2.8403444
0.5105582,-0.96052724,-2.7821536
0.514877,-0.9570692,-2.8097265
0.511491,-0.9572864,-2.7909367
0.024827376,0.30788946,-3.4557753
-0.010647425,0.39363012,-4.809049
-0.07023168,0.3965223,-5.382819
-0.0975429,0.38734552,-5.4772387
-0.10900527,0.3824627,-5.493761
-0.1177571,0.37962875,-5.520617
-0.1359049,0.3740466,-5.5816607
-0.11745909,0.37828508,-5.501008
-0.13015313,0.3757055,-5.559061
-0.12864621,0.3763269,-5.553347
-0.13739705,0.37347463,-5.5837235
-0.11731961,0.3784187,-5.4986963
-0.12560637,0.3766825,-5.533845
-0.12719348,0.37640986,-5.5415177
-0.12428601,0.37694648,-5.5285897
-0.14117178,0.37184885,-5.5914154
-0.13470416,0.3741835,-5.5736866
-0.13647527,0.37357447,-5.578526
-0.13488898,0.37420335,-5.5759625
-0.11711934,0.3775489,-5.4897246
-0.12057537,0.3776928,-5.5108624
-0.13397734,0.37475333,-5.5697255
-0.13653532,0.37389514,-5.578592
-0.12552541,0.37687412,-5.5372214
-0.13649599,0.3738378,-5.578943
-0.05357392,-0.014712781,-5.0253963
-0.1294622,-0.020469464,-6.8474174
-0.17010316,-0.034382895,-7.2769256
-0.1727137,-0.035608187,-7.316258
-0.17987838,-0.03847251,-7.354457
-0.1763129,-0.037102208,-7.3373156
-0.17747566,-0.037580773,-7.3436294
-0.18023804,-0.03878136,-7.3562875
-0.176418,-0.037362598,-7.337674
-0.18060422,-0.038819402,-7.3578568
-0.18136287,-0.039135605,-7.360918
-0.17978773,-0.038546413,-7.3544493
-0.17937776,-0.038350165,-7.3527436
-0.17967567,-0.038534343,-7.353912
-0.18111524,-0.039063856,-7.360418
-0.1742144,-0.036673464,-7.32611
-0.18049052,-0.03884749,-7.357809
-0.17839968,-0.03807445,-7.3482943
-0.18074396,-0.038950898,-7.3585634
-0.17566141,-0.03714007,-7.333674
-0.17917803,-0.03831421,-7.351407
-0.17925894,-0.038342647,-7.3517594
-0.1787205,-0.0382175,-7.349627
-0.17938897,-0.03844452,-7.352827
-0.17492098,-0.037009202,-7.3297486
0.17004049,-0.257137,-6.779121
0.20599495,-0.2938263,-8.621514
0.21209913,-0.29962894,-8.901164
0.2113366,-0.3016675,-8.9565935
0.21186484,-0.301642,-8.959148
0.21062271,-0.3024348,-8.970013
0.2117764,-0.30177733,-8.9612255
0.21105807,-0.30218822,-8.96693
0.2109856,-0.30220622,-8.967518
0.21091835,-0.30223197,-8.968077
0.21071821,-0.30237252,-8.96946
0.21114196,-0.3021354,-8.966315
0.21093984,-0.30224922,-8.967881
0.21182062,-0.3017173,-8.960876
0.21050078,-0.30252054,-8.970927
0.21101297,-0.30222318,-8.967655
0.21084216,-0.3023025,-8.968554
0.21146303,-0.30191845,-8.96392
0.21232054,-0.30139184,-8.956912
0.21177702,-0.30177036,-8.961314
0.21053423,-0.3024915,-8.97066
0.21097894,-0.3022188,-8.967782
0.21177796,-0.30176267,-8.96188
0.21188658,-0.3016978,-8.960609
0.21355967,-0.30061075,-8.944436
0.28149492,-0.28121567,-7.8887157
0.3538306,-0.31811017,-9.980353
0.36485854,-0.32415438,-10.305999
0.36653203,-0.32496476,-10.350481
0.3668405,-0.3250432,-10.355883
0.36725044,-0.32475865,-10.351434
0.36689788,-0.32507017,-10.356736
0.36664236,-0.32524264,-10.359918
0.36673358,-0.32519048,-10.358666
0.36655116,-0.32531637,-10.360839
0.3666751,-0.32519963,-10.359246
0.36649176,-0.32534885,-10.361553
0.36667907,-0.32520163,-10.359348
0.36636332,-0.32543626,-10.363001
0.36656767,-0.32530645,-10.360926
0.3664202,-0.32540506,-10.362383
0.3671694,-0.32485265,-10.352973
0.36672878,-0.32516903,-10.358729
0.36659956,-0.32526538,-10.360291
0.3663157,-0.32547024,-10.363452
0.36709112,-0.32491636,-10.354329
0.36639357,-0.325431,-10.362639
0.36635062,-0.32544535,-10.363045
0.3663558,-0.3254475,-10.363051
0.36647475,-0.3253705,-10.361718
-0.03488748,-0.23488453,-8.663678
-0.04496064,-0.2606391,-10.992239
-0.048145376,-0.2656558,-11.371479
-0.04820694,-0.266195,-11.420087
-0.048524566,-0.2664042,-11.4297285
-0.048578583,-0.26644105,-11.4311285
-0.048486877,-0.26640067,-11.430465
-0.048570223,-0.26643765,-11.431201
-0.048370026,-0.26634872,-11.429513
-0.04826334,-0.26631248,-11.428474
-0.048316322,-0.26633292,-11.428904
-0.048430968,-0.26638034,-11.429969
-0.04816828,-0.26628178,-11.427481
-0.04838807,-0.2663663,-11.429594
-0.048568547,-0.26643792,-11.431197
-0.048350073,-0.26634067,-11.429208
-0.048402667,-0.26635802,-11.429695
-0.04837031,-0.26635855,-11.429428
-0.0479848,-0.26619893,-11.425835
-0.04855969,-0.2664317,-11.431108
-0.04802683,-0.26622006,-11.426266
-0.048560124,-0.2664335,-11.431134
-0.04831313,-0.26633912,-11.428964
-0.048564944,-0.26643783,-11.431163
-0.048477788,-0.26640216,-11.430436
0.30067208,0.6276568,-9.154861
0.3777291,0.8291878,-11.6607685
0.38915932,0.86022323,-12.052297
0.39071128,0.8645091,-12.106932
0.39091802,0.8650919,-12.11444
0.39097157,0.86516297,-12.115179
0.3910388,0.8651401,-12.11443
0.39095768,0.86518157,-12.115536
0.39105907,0.865125,-12.114053
0.39117104,0.8650495,-12.112321
0.39114794,0.86506474,-12.112687
0.3909969,0.86516494,-12.115077
0.39094576,0.8651849,-12.115684
0.3910865,0.8651037,-12.113688
0.39110428,0.8650924,-12.113391
0.39118087,0.8650689,-12.112373
0.391095,0.865103,-12.113553
0.391076,0.8651118,-12.113765
0.3911044,0.86509204,-12.113395
0.3909774,0.8651732,-12.115309
0.3910677,0.86512697,-12.113979
