accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2]
1.1849777,-0.084972486,-2.19573
1.1119623,-0.06875769,-2.19573
1.3886881,-0.07524593,-3.2109282
1.4076259,-0.079649895,-2.3332314
0.96497685,-0.060457747,-2.8326228
1.4076259,-0.0831415,-3.2109282
0.9025875,-0.09083566,-3.2109282
1.3308316,-0.08792235,-2.19573
1.4076259,-0.08934836,-3.2109282
0.8416372,-0.081122346,-3.2109282
1.0027303,-0.07307545,-2.766298
0.88796175,-0.06937678,-3.2109282
1.3618138,-0.09165544,-2.492188
0.96079296,-0.060457747,-3.2109282
1.380351,-0.06809018,-2.19573
0.8416372,-0.08801084,-2.5222254
1.4076259,-0.060457747,-2.429246
0.8416372,-0.060457747,-2.7112708
1.0427219,-0.068734095,-2.19573
0.8416372,-0.09165544,-3.0685437
0.8753489,-0.06406426,-2.7856112
1.0711049,-0.08435989,-2.6484406
1.2525647,-0.070683986,-2.19573
1.1813711,-0.09165544,-2.708657
0.86879176,-0.060457747,-2.19573
-0.34415254,0.16984728,-5.302622
-0.2531577,0.065173805,-5.035588
-0.27402833,0.082897164,-5.2820725
-0.28006947,0.251927,-5.2871623
-0.34415254,0.088929646,-5.271542
-0.2531577,0.18823206,-5.174379
-0.2531577,0.25253534,-5.2872944
-0.33156532,0.25253534,-5.1314235
-0.3355186,0.065173805,-5.2751136
-0.31674248,0.065173805,-5.2248154
-0.34415254,0.065173805,-5.035588
-0.30945438,0.17236602,-5.226002
-0.2950251,0.2506437,-5.232949
-0.25380027,0.065173805,-5.1936655
-0.2680112,0.1637646,-5.035588
-0.3264348,0.25253534,-5.294336
-0.30152348,0.07888978,-5.2826014
-0.2867416,0.11965955,-5.2122536
-0.2531577,0.09407329,-5.1122518
-0.30326456,0.16041261,-5.302546
-0.31884372,0.21239376,-5.035588
-0.33950728,0.24932027,-5.035588
-0.27817783,0.13941154,-5.071417
-0.30318648,0.20907372,-5.171084
-0.29030794,0.25253534,-5.269349
-0.051742487,-0.45727605,-6.7712045
-0.07170061,-0.8100973,-6.7666235
-0.074649274,-0.7843089,-6.7897882
-0.060518816,-0.7434974,-6.806957
-0.090050764,-0.48792958,-6.8156114
-0.057588622,-0.4196201,-6.8172355
-0.07271482,-0.41241825,-6.811432
-0.08547579,-0.78906715,-6.7666235
-0.07442189,-0.47116268,-6.7987437
-0.06330879,-0.5303016,-6.7666235
-0.090050764,-0.44515878,-6.794098
-0.0745628,-0.90105486,-6.8259616
-0.073262304,-0.90105486,-6.7837796
-0.05743467,-0.73654133,-6.8238773
-0.090050764,-0.6862946,-6.7666235
-0.053524874,-0.5828941,-6.82813
