accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2]
0.21597171,-0.032387156,-9.642181
0.20721743,-0.040210467,-9.672564
0.5478919,-0.6052537,-9.410097
-1.0659002,1.2378314,-10.216183
1.2995738,-2.070992,-9.242042
0.4135145,0.09983256,-9.686108
-1.4318095,2.859775,-11.445714
2.3675618,-0.43649963,-6.984838
-1.5559366,-0.115009196,-10.106246
0.65670764,-0.5017932,-10.5047865
1.1249629,-2.3946638,-9.111401
0.26601714,0.10000939,-10.063384
-0.51052165,0.016084582,-10.243503
1.0983641,0.9698615,-9.30197
-0.9536743,-0.074839965,-9.905965
1.2623029,0.021560391,-9.525761
-0.53598243,0.5380031,-9.095891
-0.051818978,-0.08826081,-9.650115
1.2176844,1.3005368,-9.104009
-0.81984955,-0.99758315,-11.120685
0.36771867,0.16731338,-9.265199
0.56709117,-0.5608383,-9.599543
-0.20152909,-0.79608387,-9.69918
0.63886076,0.2802568,-9.676938
0.4816141,-0.53634804,-9.65901
-0.52030176,-0.06966173,-9.4884815
0.35785806,0.41042307,-9.82395
-0.3089667,-0.64282596,-10.237601
0.5126902,0.253077,-9.704131
0.53659046,-0.17834108,-9.9039955
-0.2852052,0.63446623,-9.522829
0.2414287,0.6548699,-8.86312
0.16478617,0.15828635,-9.173264
0.39521384,-0.19097833,-10.227836
0.70707375,-0.7034096,-10.402787
-0.24937597,0.13543673,-10.083938
0.019895533,0.3751559,-8.472595
0.15632437,-0.28992632,-8.941838
0.25233042,-0.119617455,-10.367521
0.5046534,-0.9509464,-10.370799
-0.37896162,0.46917176,-9.782843
-0.025877675,0.19252029,-8.950153
0.67879033,0.03832763,-9.232894
0.5862371,-0.54811645,-10.621166
0.6468838,0.13688263,-10.127071
-0.21243371,0.34677953,-9.214287
0.08530948,0.18923946,-8.476625
0.40214366,-0.37507388,-10.127928
0.10437899,-0.8376117,-11.02226
-0.027679749,0.1127229,-10.000367
0.10792822,0.8854439,-8.373763
0.16112232,-0.4140711,-8.5547495
0.4790558,-0.59287274,-10.358433
0.1258274,0.12998857,-11.38272
-0.07618926,0.691466,-9.195337
0.13913436,-0.094410285,-7.9000053
0.74156237,0.030620813,-9.768588
0.24409878,-0.23608746,-11.308669
-0.23151945,0.180899,-10.004978
0.2499217,0.7466562,-8.339174
0.1848649,-0.813965,-9.111145
-0.11166638,-1.0319722,-10.634377
0.22944035,0.2928594,-10.936861
0.22765252,1.2630026,-8.759413
0.23997639,-0.4831391,-7.6621375
0.06136632,-1.143533,-10.329824
0.08578444,0.35988504,-11.944135
-0.073383704,0.6144202,-9.620842
0.7043721,0.20490019,-7.535887
0.29935303,-0.33585083,-9.71578
-0.1873478,-0.21907724,-11.514655
-0.06347292,0.25324672,-9.532415
0.57418543,0.22224039,-8.599592
0.17516063,-0.046002194,-9.733697
-0.001719174,-1.2610877,-10.214774
0.28069153,1.0748862,-10.126184
0.002757567,0.62696165,-9.4028635
0.4361769,0.022932261,-8.306061
0.14087006,-1.6035492,-10.495107
-0.27886456,0.34561262,-10.667566
0.6133273,1.2607934,-9.27592
0.82308453,0.07423005,-7.9841275
-0.37023693,-1.3353804,-9.919014
-0.27177244,-0.1314944,-11.49121
0.34705248,0.8101004,-9.826501
0.80829346,-0.37653297,-7.8778477
0.13288474,-0.63705915,-9.605038
-0.43977597,-0.020083522,-11.245026
0.12519954,1.092351,-9.301256
0.8048669,-0.25592864,-8.983405
0.28231344,-0.43356863,-10.151879
-0.53706163,-0.7395748,-10.086683
0.4112832,1.0938342,-9.224492
0.63885766,0.31361723,-9.05767
0.66026056,-0.33045742,-9.70767
-0.6121727,-0.48244172,-10.759005
-0.27902815,-0.6088056,-9.179439
0.67492104,0.7456007,-9.1369095
