accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2]
-0.16071065,0.18668003,-9.675255
-0.16643968,0.1800267,-9.671936
-0.16599162,0.20522112,-9.681921
-0.14761883,0.20436865,-9.681586
-0.15751025,0.20620884,-9.674038
-0.18153533,0.20274237,-9.661223
-0.18028723,0.20528853,-9.675748
-0.15717593,0.17850488,-9.683183
-0.16402927,0.2185549,-9.681671
-0.15970187,0.19236848,-9.678834
-0.15140979,0.17612149,-9.655261
-0.15826488,0.1936505,-9.661096
-0.16080387,0.17851892,-9.687226
-0.38226888,0.393606,-9.710078
0.2830902,0.4452576,-9.424829
-0.5232547,-0.2853886,-10.094739
0.020601714,-0.10937217,-9.325614
-0.5411579,0.22230726,-9.812077
0.6774101,-0.0825211,-9.406215
-0.90387577,-0.15148148,-10.286053
0.044748407,1.6430553,-9.59305
0.9518984,0.31280008,-9.107023
-1.8636574,-0.06568819,-10.939163
0.4811407,-0.006834746,-8.295618
-0.1654656,0.5838196,-10.143051
-0.6960572,-0.62628824,-9.481983
0.34243357,-0.15079546,-10.088688
0.11121696,1.1987134,-10.052358
-0.061042476,-0.58673066,-9.288376
0.4620535,-0.001926217,-9.346804
-0.19250883,1.1149797,-10.043812
-0.22208631,-1.0187471,-9.066449
-0.6751327,0.67385125,-9.946325
-0.23766531,0.7403652,-10.057625
-0.84532344,-0.24585994,-9.339055
0.107967645,1.1714227,-9.833497
-0.01678992,-0.13153353,-9.728477
0.004781184,0.35031435,-9.665069
-0.5086948,-0.50310194,-9.497637
-0.26207912,-0.096405484,-9.7123
-0.7379857,0.06734355,-10.02232
0.20043711,0.092112765,-9.508495
0.6824849,0.5792255,-9.460408
0.47428226,0.16944496,-9.949604
-0.30688927,0.3070216,-9.577723
-0.5369513,0.47805884,-9.311677
-0.3764164,0.4887225,-9.854862
0.003889768,0.2814881,-9.800197
0.33061635,-0.35180366,-9.539892
-0.19992922,-0.32723284,-9.696934
-0.7355453,0.16103676,-9.647701
-0.5537887,0.6515166,-9.735622
0.1143474,0.614696,-9.577984
0.17346448,-0.2481161,-9.810997
-0.24430083,-0.26604843,-9.902783
-0.7131518,0.24703497,-9.529579
-0.45609125,0.68942964,-9.625583
0.3887833,0.9569755,-9.557731
0.4782315,-0.10838498,-9.763968
-0.3595224,-0.6238251,-9.842393
-0.8224018,0.38977894,-9.514923
-0.49401158,0.1552844,-9.842651
0.38574946,0.5309259,-9.496681
0.45158103,-0.3058738,-9.700644
-0.03332184,-0.08845743,-9.637295
-0.78713566,0.48045108,-9.453109
-0.06281384,0.7946459,-9.706144
0.2121603,0.14533895,-10.079403
-0.06829207,-0.20823583,-9.712902
-0.6914309,-0.24323976,-9.598788
-0.42681566,0.79017895,-9.508437
0.097221434,0.7004444,-9.593355
0.1628881,-0.032179996,-9.955365
-0.21228436,-0.5937644,-9.769597
-0.83540756,0.46216568,-9.883825
-0.5236028,0.22397025,-9.516309
0.35639086,0.30287775,-9.395718
0.2418504,0.37113693,-9.659741
-0.09377801,-0.38967058,-9.61805
-0.8789172,0.83542466,-9.593603
-0.13707608,0.50484335,-9.756824
0.58634967,-0.1877441,-10.0149355
-0.24991642,-0.30790508,-9.76332
-0.42346826,0.10321065,-9.267771
-0.07462349,0.851114,-9.403319
-0.13196677,0.28682148,-10.04003
0.32917598,-0.21980377,-9.565173
-0.18360412,-0.1457912,-10.016656
-0.95436907,0.1868831,-9.637829
0.012435032,1.0587541,-9.568167
0.42271972,-0.06582493,-9.520405
-0.24704519,-0.0898418,-9.7512045
-0.48220652,0.2600492,-9.681691
-0.5853563,0.17006283,-9.565172
-0.2147349,0.5531407,-10.094312
0.3790119,-0.3255412,-9.592737
-0.14098689,-0.124589354,-9.565108
-0.296874,0.8743712,-9.552091
-0.3015141,0.6325757,-9.601572
-0.13458994,-0.41527152,-9.928592
0.23845184,-0.098530754,-9.723664
-0.64408576,0.187957,-9.78647
-0.007104309,0.43850267,-9.395971
0.21583894,0.6983689,-9.602927
-0.1378789,-0.033081193,-9.918896
-0.25449744,-0.6731501,-9.449349
-0.51226795,1.0021417,-9.749765
-0.21146888,0.13252154,-9.632883
-0.06697349,-0.26121303,-9.80877
0.12765463,0.57560474,-9.380839
-0.11136395,-0.18329191,-9.880556
-0.2911136,1.0595636,-9.75654
-0.42143688,-0.29105306,-9.516578
-0.04782476,-0.36797333,-9.980917
-0.26311558,0.122381285,-9.775696
-0.04189489,0.7162686,-9.2796135
0.10255464,0.4706207,-9.743298
-0.3906195,0.496964,-9.869914
-0.37140173,-0.63656443,-9.32546
0.015685579,0.060340337,-10.07806
-0.17380436,1.1527557,-9.851678
-0.098714754,-0.52144533,-9.114399
-0.052419547,0.274666,-9.796732
-0.28009015,0.28002325,-9.905285
-0.00346404,-0.15458259,-9.514873
-0.21978877,0.65739244,-9.640453
-0.35126007,0.18903272,-9.817826
-0.24651982,-0.71832937,-9.351176
0.003906943,1.1290616,-9.796742
0.13734317,0.41269878,-10.070047
-0.38194188,0.24770012,-9.730915
-0.48751113,-0.5940337,-9.447297
-0.058564708,0.15505496,-9.846916
0.31779552,0.4280022,-9.57084
-0.15526062,0.5591945,-9.173305
-0.01971872,0.30443013,-9.702852
-0.5741509,-0.3517494,-9.72399
-0.46924147,-0.02587549,-9.95217
0.37102097,0.7285168,-10.072093
-0.093819804,0.4206898,-9.796905
-0.6133198,-0.6087493,-8.586887
0.14185481,0.70610064,-9.996068
0.20525227,0.57479465,-10.167375
-0.54041225,-0.5641606,-9.0771475
-0.15462725,0.7189903,-9.887125
-0.50384355,-0.3858397,-9.953766
-0.13545178,-0.10398426,-9.460994
0.55511075,1.6143279,-9.877178
-0.09368827,-0.07782219,-9.829932
-0.9538801,-0.7266512,-8.997413
-0.16978437,0.5577312,-9.91617
0.2568441,0.40080976,-10.251221
0.00036816,-0.13352291,-9.470015
-0.10834511,0.85181737,-9.447755
-0.5673654,-0.5315329,-9.602442
0.13194098,0.35774085,-9.929505
-0.37036085,0.4051517,-9.94194
0.14857262,0.12624282,-9.77738
-0.47700152,0.03354642,-9.329747
-0.68042076,0.26285422,-9.257649
0.8524303,0.5493979,-10.036154
