accelerometer_m_s2[0],accelerometer_m_s2[2]
0.009875093,-0.38864028
0.06234978,-0.73006445
0.11560332,-0.9647483
0.15317497,-1.1039687
0.1917625,-1.2762405
0.2028704,-1.272492
0.21229443,-1.2863268
0.26611784,-1.6343572
0.2827054,-1.5421411
0.3107391,-1.7502165
0.3147698,-1.7172239
0.30930367,-1.5827433
0.30773464,-1.5869293
0.30963516,-1.575834
0.32232222,-1.662677
0.31369355,-1.6600859
0.30233106,-1.5006539
0.29047033,-1.4210871
0.30377117,-1.4884704
0.302894,-1.5664839
0.2954984,-1.4497718
0.2989911,-1.5100847
0.301163,-1.56611
0.29503256,-1.5353652
0.29080057,-1.461006
-0.19264942,-2.3118412
-0.33315507,-4.6586585
-0.35204592,-5.279747
-0.4148729,-5.919862
-0.39969048,-5.8555193
-0.3928057,-5.819474
-0.4288879,-6.0483913
-0.39620104,-5.8590627
-0.42212364,-6.020504
-0.41193065,-5.954697
-0.4021516,-5.898629
-0.40981305,-5.952798
-0.40753123,-5.926601
-0.39399454,-5.8414474
-0.3908693,-5.808111
-0.40564692,-5.9076166
-0.3999535,-5.879431
-0.40713176,-5.930506
-0.41965437,-6.000224
-0.41315147,-5.980583
-0.4024275,-5.897147
-0.40769973,-5.9477463
-0.40096006,-5.8921623
-0.38849986,-5.8071976
-0.40014955,-5.883641
0.21793213,-3.965087
0.3753618,-6.639643
0.41326806,-7.1075563
0.41873008,-7.276587
0.419422,-7.335603
0.4223171,-7.3069577
0.42195138,-7.3174806
0.42455328,-7.2103157
0.42286164,-7.28204
0.42067614,-7.33236
0.4200197,-7.3459477
0.41990748,-7.349125
0.4233156,-7.2846875
0.42146268,-7.307786
0.41975364,-7.347096
0.42069218,-7.334004
0.42175478,-7.3242884
0.42118412,-7.323045
0.42076483,-7.3362713
0.41888115,-7.370574
0.4223355,-7.314131
0.42197987,-7.302342
0.41807216,-7.38036
0.42206582,-7.304143
0.42084667,-7.328158
-0.05517635,-5.5975666
-0.052436307,-8.133047
-0.04656954,-8.527607
-0.043479744,-8.585023
-0.04803846,-8.685274
-0.04920975,-8.7088995
-0.04846543,-8.699603
-0.049498767,-8.71547
-0.04791021,-8.6927595
-0.04977217,-8.722837
-0.04873949,-8.703417
-0.050130956,-8.7244625
-0.049632948,-8.717258
-0.04845839,-8.703483
-0.047878206,-8.690032
-0.049519815,-8.716394
-0.04644243,-8.674085
-0.050272204,-8.7259035
-0.050028518,-8.7232065
-0.049674638,-8.720104
-0.047786795,-8.68941
-0.049329557,-8.713871
-0.04976024,-8.719163
-0.04276628,-8.608031
-0.04941679,-8.718112
0.19859684,-6.8754463
0.2855724,-9.452277
0.30297405,-9.829403
0.30465066,-9.9808235
0.30558884,-9.982423
0.30449253,-10.029695
0.30488837,-10.018718
0.30439866,-10.033149
0.30573463,-9.994456
0.30511206,-10.010188
0.3060881,-9.979452
0.30510998,-10.008769
0.30475175,-10.02423
0.3053006,-10.003499
0.3055727,-9.996058
0.3047508,-10.021899
0.30536175,-9.9992695
0.30539525,-9.997991
0.30571556,-9.99218
0.30555707,-10.000724
0.30521703,-10.006826
0.30533218,-10.00161
0.3056954,-9.989228
0.3048743,-10.021956
0.30500394,-10.015811
-0.089712635,-8.138498
-0.093774356,-10.425869
-0.09326971,-10.785015
-0.09313585,-10.844068
-0.09299655,-10.852896
-0.09288951,-10.85434
-0.09198432,-10.835203
-0.09297821,-10.857107
-0.09135024,-10.823872
-0.09324272,-10.861323
-0.09282993,-10.852564
-0.093036085,-10.857744
-0.09235197,-10.843746
-0.09333518,-10.862321
-0.09237871,-10.843763
-0.09316544,-10.859656
-0.09274314,-10.850889
-0.09328009,-10.860088
-0.09236832,-10.844126
-0.093401834,-10.862671
-0.09348427,-10.864499
-0.09310733,-10.858037
-0.09343214,-10.86395
-0.09101137,-10.818646
-0.092515334,-10.847797
0.26665908,-8.388651
0.35936236,-10.765095
0.37628606,-11.203102
0.37934062,-11.259048
0.3796277,-11.277455
0.3794887,-11.288819
0.38063133,-11.236242
0.37937924,-11.294099
0.3795639,-11.290008
0.3794749,-11.290926
0.37948373,-11.291088
0.37961707,-11.2868
0.37978923,-11.279641
0.37965348,-11.282661
0.37986788,-11.278938
0.37971535,-11.281128
0.3794636,-11.292617
0.37941736,-11.292749
0.37979287,-11.28022
0.37946615,-11.291981
0.37942553,-11.292584
0.38043332,-11.253795
0.37940893,-11.293428
0.3795288,-11.288818
0.38004318,-11.270661
0.011260785,-8.665392
0.054667346,-11.026883
0.06591398,-11.431216
0.068692945,-11.483646
0.068602495,-11.528512
0.06925149,-11.510079
0.06911084,-11.514922
0.06878987,-11.530137
0.069716595,-11.497243
0.06884299,-11.525645
0.06882466,-11.526637
0.06918579,-11.515559
0.06885394,-11.529215
0.06878282,-11.529379
0.06896367,-11.523523
0.06910089,-11.519206
0.068752386,-11.530931
0.06888979,-11.5253
0.069956645,-11.491412
0.06925091,-11.512428
0.06910831,-11.517812
0.068986066,-11.522416
0.069041565,-11.518913
0.069369234,-11.5126295
0.068830006,-11.526812
-1.2233281,-8.981456
-1.408447,-11.555255
-1.3779204,-12.306831
-1.3357143,-12.484784
-1.3133354,-12.542051
-1.3012149,-12.585207
-1.287749,-12.621206
-1.2791765,-12.640306
-1.2784188,-12.636084
-1.2756915,-12.644259
-1.275948,-12.641433
-1.2769494,-12.645328
-1.2748721,-12.634614
-1.2724633,-12.647921
-1.2730367,-12.636743
-1.2728009,-12.654582
-1.2717617,-12.655479
-1.272856,-12.602361
-1.273695,-12.645221
-1.2723486,-12.644832
-1.2750428,-12.625452
-1.276087,-12.649609
-1.2744951,-12.633163
-1.275048,-12.640557
-1.2735734,-12.637226
-0.88942677,-7.6301813
-1.0947438,-9.805625
-1.1502067,-10.281164
-1.1435773,-10.363433
-1.1342889,-10.386198
-1.1311886,-10.409622
-1.1294204,-10.40653
-1.1269213,-10.417406
-1.1385472,-10.412424
-1.1383607,-10.412828
-1.133993,-10.408267
-1.1342795,-10.402287
-1.1393183,-10.414949
-1.1352876,-10.415784
-1.1358933,-10.422379
-1.134322,-10.415478
-1.129891,-10.422302
-1.1250963,-10.381617
-1.1331562,-10.426436
-1.1311555,-10.416776
-1.1321454,-10.4106655
-1.130481,-10.407111
-1.1347911,-10.421941
-1.1281241,-10.388892
-1.1413444,-10.407249
-1.3863232,-7.052429
-1.8471721,-8.903951
-1.9406619,-9.177085
-1.9533273,-9.155259
-1.9676392,-9.22455
-1.9717718,-9.220958
-1.9742452,-9.205455
-1.9754286,-9.197362
-1.9760996,-9.219653
-1.9714199,-9.192869
-1.9745717,-9.223592
-1.9722143,-9.2226515
-1.9743018,-9.222122
-1.9724329,-9.138075
-1.978513,-9.198946
-1.9737808,-9.197441
-1.9753423,-9.160081
-1.9759316,-9.17798
-1.9772449,-9.1467285
-1.9749528,-9.166011
-1.9746147,-9.202415
-1.9724853,-9.199261
-1.9754016,-9.218748
-1.9754715,-9.196167
-1.9722428,-9.186977
1.265645,-6.6083274
1.8183753,-7.85647
2.0625336,-8.049284
2.1333551,-7.992414
2.1685088,-7.9993114
2.1729305,-7.974817
2.1927273,-7.973176
2.2051935,-7.9305997
2.189142,-7.977686
2.1974216,-7.96346
2.181031,-7.979591
2.203337,-7.961312
2.2018626,-7.933174
2.2053463,-7.9297175
2.1951165,-7.97562
2.2006466,-7.9648314
2.200307,-7.9418373
2.196054,-7.973624
2.1947038,-7.970177
2.1795456,-7.981348
2.2019713,-7.9422154
2.1889348,-7.9694705
2.1808822,-7.9688835
2.1920886,-7.971788
2.189693,-7.9844494
1.7539734,-8.3982115
2.4799013,-10.464898
2.6822782,-10.847219
2.7420733,-10.976445
2.755751,-11.016348
2.769459,-10.942152
2.7626727,-11.030937
2.7764816,-10.87993
2.7720332,-10.949652
2.7734911,-10.921383
2.7658343,-11.002351
2.779013,-10.875523
2.766554,-10.990759
2.7735174,-10.920512
2.7669075,-11.000282
2.7688434,-10.989979
2.7780046,-10.884392
2.7569826,-11.099654
2.7701979,-10.9763155
2.7643945,-11.019358
2.7696552,-10.9859705
2.7732654,-10.926122
2.7701814,-10.980488
2.7733893,-10.925715
2.765149,-11.0244665
-2.193359,-5.961382
-2.7993066,-7.241894
-2.920042,-7.367403
-2.9815128,-7.3642573
-2.9973211,-7.3451114
-2.9938364,-7.3418326
-3.002095,-7.3379064
-2.9989274,-7.3463063
-2.9697134,-7.3155575
-2.9852247,-7.334864
-2.9954002,-7.342413
-2.9978373,-7.3292193
-3.0034223,-7.333789
-2.9931977,-7.3304234
-2.999005,-7.3361225
-2.987764,-7.328445
-3.0019937,-7.3303204
-2.9975097,-7.3357205
-2.9998825,-7.334664
-3.0036469,-7.3348365
-2.9990451,-7.3381944
-2.9901762,-7.336327
-2.994984,-7.3399086
-2.9877126,-7.3325434
-3.00082,-7.339409
0.59347266,-9.597262
1.0750632,-12.665478
1.3423613,-13.418929
1.4456757,-13.723275
1.5320127,-13.708394
1.5741183,-13.665083
1.5505047,-13.827068
1.6014167,-13.656348
1.5794374,-13.768459
1.5678916,-13.829294
1.6210648,-13.621494
1.6116086,-13.661953
1.5252203,-14.012227
1.5838467,-13.790778
1.6319253,-13.589062
1.5862749,-13.787849
1.6332395,-13.581637
1.5931666,-13.756184
1.6312592,-13.595427
1.576182,-13.827839
1.6327934,-13.590956
1.6050162,-13.710611
1.6097782,-13.692851
1.5765004,-13.824771
1.6443911,-13.535893
-1.0689031,-8.423954
-1.4391176,-10.409509
-1.5144842,-10.655404
-1.5503598,-10.771632
-1.557005,-10.770335
-1.5590078,-10.819459
-1.5375997,-10.891031
-1.5416563,-10.832482
-1.552088,-10.80842
-1.5505519,-10.848086
-1.5459768,-10.856252
-1.5410959,-10.855734
-1.546941,-10.845475
-1.5388302,-10.868595
-1.5440502,-10.830938
-1.5437913,-10.856568
-1.5385439,-10.848097
-1.539389,-10.812782
-1.5487274,-10.843736
-1.5496373,-10.734009
-1.5617387,-10.773232
-1.5614396,-10.789034
-1.553693,-10.835562
-1.5550177,-10.758402
-1.5559676,-10.707723
-1.2067795,-7.21528
-1.7806135,-8.45409
-2.0937545,-8.654611
-2.242077,-8.309373
-2.370727,-8.127275
-2.4539044,-8.028084
-2.5303597,-7.750881
-2.6126528,-7.553567
-2.6707904,-7.4423466
-2.7057612,-7.008705
-2.7660232,-6.9103236
-2.8014748,-6.788487
-2.8437643,-6.8232155
-2.864549,-6.840943
-2.861571,-6.6958117
-2.8802004,-6.7951145
-2.8815913,-6.724165
-2.8846567,-6.699423
-2.885389,-6.661418
-2.8960292,-6.6938934
-2.8929305,-6.687364
-2.9033117,-6.755285
-2.8741186,-6.5874887
-2.8610525,-6.5290427
-2.8565338,-6.534492
-1.1132034,-8.524382
-1.5744547,-10.633984
-1.6794198,-10.921553
-1.7438015,-10.996515
-1.7656204,-11.004409
-1.7575147,-11.026386
-1.7529138,-11.031505
-1.7497754,-11.041303
-1.7523615,-11.028867
-1.7622477,-11.039771
-1.767342,-11.033725
-1.7608074,-11.045174
-1.7671356,-11.042113
-1.7564759,-11.015515
-1.7719653,-11.035754
-1.7616721,-11.023074
-1.7783626,-11.033924
-1.756247,-10.984003
-1.7688634,-11.012619
-1.7549472,-10.985047
-1.7914821,-11.013024
-1.7777495,-10.983353
-1.8017244,-11.001182
-1.770834,-10.961113
-1.7935427,-10.9931
-2.0197747,-8.814473
-2.7740757,-10.799328
-3.0684881,-11.033574
-3.1852193,-11.004909
-3.2280657,-10.957486
-3.270687,-10.939606
-3.280845,-10.921789
-3.2963428,-10.909562
-3.2958314,-10.900904
-3.3021526,-10.896331
-3.3013415,-10.890268
-3.2996643,-10.888919
-3.2947814,-10.878193
-3.3046317,-10.89093
-3.3071911,-10.890406
-3.307975,-10.89112
-3.310717,-10.889172
-3.3139982,-10.887852
-3.3129747,-10.889387
-3.3107207,-10.890178
-3.310499,-10.884948
-3.3098056,-10.88468
-3.3079758,-10.8823185
-3.3115313,-10.888631
-3.3120463,-10.88916
1.1714154,-1.9073609
1.8962487,-2.3156383
2.1724374,-2.3950715
2.2548542,-2.443166
