accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],gyro_rad[0],gyro_rad[1],gyro_rad[2]
0.19137487,-0.83876926,-1.8731841,0.022195846,-0.044688955,0.036962703
0.13448897,-0.76227623,-1.2740611,0.026899789,-0.03177911,0.032859538
0.265416,-0.6377777,-1.4010428,-0.002309635,-0.033070453,0.027147256
0.15420806,-0.8263764,-1.8731841,0.008818537,-0.03177911,0.015940564
0.13448897,-0.80130625,-1.6993771,-0.011348113,-0.04964985,0.025757216
0.33028954,-0.9173249,-1.7313372,8.39E-05,-0.040107988,0.022874683
0.35376477,-0.80236894,-1.8731841,0.026899789,-0.03177911,0.029330507
0.19056138,-0.8579493,-1.2740611,-0.026851393,-0.04964985,0.036962703
0.33308804,-0.6377777,-1.479995,0.013191327,-0.03177911,0.014028152
0.17661834,-0.6377777,-1.2921982,-0.026851393,-0.03177911,0.019884
0.1959317,-0.9173249,-1.8731841,-0.008942455,-0.04964985,0.014028152
0.24742645,-0.8691256,-1.2740611,-0.009279549,-0.04823926,0.014028152
0.16146499,-0.6377777,-1.8731841,0.010218412,-0.03177911,0.036962703
0.35376477,-0.84254736,-1.4851795,-0.026851393,-0.04121262,0.023939628
0.22935075,-0.67807823,-1.792006,-0.026851393,-0.04381326,0.029399205
0.14139193,-0.890199,-1.2740611,-0.026851393,-0.04964985,0.031804264
0.17803761,-0.89474577,-1.6489179,0.026899789,-0.031789068,0.036962703
0.19384637,-0.8695989,-1.4428945,-0.007116348,-0.04964985,0.019517943
0.32145268,-0.86185604,-1.5247444,0.012842223,-0.046799358,0.036962703
0.20628142,-0.84189504,-1.7381849,0.020512164,-0.045419656,0.018122686
0.24558091,-0.6377777,-1.4900142,0.026899789,-0.037459202,0.036962703
0.28684872,-0.720172,-1.2931541,-0.026851393,-0.04120505,0.016898314
0.35376477,-0.6863575,-1.3388895,0.007083625,-0.032724645,0.019055225
0.13448897,-0.6377777,-1.8271761,0.011709496,-0.042266645,0.030620677
0.23256907,-0.8751242,-1.2740611,-0.026851393,-0.03267028,0.01799317
-0.30695948,0.9387313,-4.905528,0.02749527,-0.007340621,0.047709092
-0.36204854,1.325256,-4.7063265,0.013365135,-0.002116211,0.04154862
-0.3407952,1.1525118,-4.8851805,4.06E-05,0.004003175,0.056577057
-0.3453239,0.84965533,-4.8699245,0.02749527,0.008316007,0.03222716
-0.34123242,1.2339765,-4.6435385,0.026528746,-0.011180669,0.03222716
-0.30503914,0.9475373,-4.8966856,-0.002437204,-0.010515634,0.048829757
-0.27596533,1.0989391,-4.7672486,-0.013745746,-0.013009519,0.04841336
-0.27169278,0.9073942,-4.8947544,-0.013745746,-0.011703096,0.042585135
-0.2486402,1.0825385,-4.6435385,0.01487419,0.008316007,0.04460312
-0.38067633,1.2066404,-4.846072,0.006990597,-0.006252416,0.056577057
-0.2486402,0.92355776,-4.903077,0.02749527,-0.012107439,0.032649785
-0.3149016,1.0019119,-4.920769,0.026792139,0.006937116,0.03222716
-0.2486402,1.1339822,-4.940833,-0.000265375,-0.009046104,0.0405135
-0.38067633,0.9609693,-4.787346,-0.013745746,0.008316007,0.052748494
-0.38067633,0.84965533,-4.873866,0.008816466,0.005067915,0.048375722
-0.3540642,1.325256,-4.8076754,0.002709717,-0.001473986,0.053072385
-0.35564664,1.325256,-4.7678657,0.006526202,-0.005856365,0.0419468
-0.28617913,1.034558,-4.877019,-0.013745746,-0.001510404,0.053871784
-0.3175926,0.8588617,-4.866062,-0.003415465,-0.010876581,0.03222716
-0.27260116,1.2967132,-4.6435385,0.016612515,-0.012828171,0.049630925
-0.30179626,1.1389494,-4.758109,0.003299445,-0.009680554,0.056577057
-0.29946342,1.1849967,-4.900894,-0.013745746,0.008316007,0.056577057
-0.30111867,0.8826697,-4.816186,-0.004236922,-0.010802239,0.04967491
-0.2486402,1.325256,-4.8461294,-0.001814231,-0.001666568,0.03222716
-0.29640585,0.84965533,-4.6435385,0.001229435,0.008316007,0.034598425
0.24340051,0.13962293,-6.541577,-0.012895505,-0.006169722,-0.034069087
0.31937706,0.11653053,-6.5366435,-0.012895505,-0.002725184,-0.018277504
0.31937706,0.16569358,-6.531146,-0.012895505,-0.00044129,-0.022297256
0.1392319,0.10801058,-6.539566,-0.003101423,0.005604185,-0.021696225
0.17171666,0.22742194,-6.5312123,0.01227361,0.009256037,-0.030784946
0.1392319,0.22742194,-6.4886885,0.016357616,0.007395022,-0.027032945
0.29076356,0.09196817,-6.5299172,0.018053759,-0.006169722,-0.023030173
0.29867694,0.09196817,-6.5376077,0.018053759,-0.006169722,-0.03416227
0.20565706,0.21420676,-6.4819436,-0.012895505,0.006054238,-0.016998988
0.1392319,0.17816022,-6.537352,0.016575664,-0.001235209,-0.034069408
0.18972829,0.123725675,-6.5449624,0.006553486,0.002167381,-0.016998988
0.2163457,0.16229758,-6.5321307,0.017877147,0.005008102,-0.03416227
0.31937706,0.09886039,-6.5418286,0.014657483,0.000365578,-0.016998988
0.1392319,0.09196817,-6.4577265,0.007990286,0.003075779,-0.024532754
0.1392319,0.15457743,-6.541351,0.003142923,-0.004416779,-0.01754317
0.17792273,0.16411588,-6.5058427,-0.001117259,-0.006169722,-0.030872907
0.31937706,0.09196817,-6.532574,-0.012895505,0.004194565,-0.018779047
0.29374343,0.22742194,-6.5369277,-0.00158374,-0.006169722,-0.016998988
0.22264165,0.12505373,-6.4840155,0.013541997,0.009256037,-0.023045864
0.25486284,0.15488198,-6.4577265,-0.012895505,0.005494326,-0.03416227
0.29311255,0.11956673,-6.5216317,0.005779445,0.003425412,-0.03374063
0.15877989,0.097698085,-6.4577265,-0.012895505,-0.006169722,-0.031172793
0.20660698,0.22742194,-6.54659,0.018053759,0.00668291,-0.018756539
0.31937706,0.22742194,-6.5198965,-0.007466659,0.005481027,-0.026569474
0.14888531,0.22742194,-6.4577265,0.011551604,0.009256037,-0.03301039
-0.04066009,-0.6025101,-7.981159,0.002948195,-0.048858814,0.043183498
-0.031306215,-0.95749855,-7.9653587,-0.007366493,-0.04995395,0.04867383
0.002139762,-0.9994033,-7.9826775,0.003451332,-0.05059031,0.033614963
-0.03392834,-0.8351052,-7.973729,-0.003683597,-0.05947624,0.04867383
-0.039858084,-0.6718814,-7.963584,0.014857789,-0.051889118,0.04867383
-0.010725185,-0.54789203,-7.9822063,-0.008670867,-0.054147333,0.03469964
-0.033980675,-0.9994033,-7.9808493,-0.007942602,-0.051591963,0.022268936
-0.000776101,-0.96943957,-7.983595,-0.008570284,-0.05621187,0.025172986
-0.021709606,-0.9994033,-7.9802275,0.000546321,-0.053335898,0.027861765
0.007679353,-0.6556818,-7.981035,-0.00197342,-0.05947624,0.037595555
0.007679353,-0.6095048,-7.965131,0.014857789,-0.05708371,0.04867383
-0.000669442,-0.54789203,-7.979929,-0.008670867,-0.0548184,0.02293614
-0.058566086,-0.69987,-7.963584,0.00111942,-0.05947624,0.024163764
-0.03281624,-0.54789203,-7.9828606,0.006274387,-0.049394287,0.03797814
-0.058566086,-0.8467894,-7.978552,0.008371607,-0.05760598,0.024971943
-0.027457558,-0.54789203,-7.982648,0.014857789,-0.058304787,0.029256018
0.007679353,-0.87847626,-7.982806,0.014857789,-0.05145036,0.03138461
-0.02070554,-0.54789203,-7.982584,-0.008670867,-0.054588914,0.04867383
-0.058566086,-0.9255479,-7.9837656,0.014857789,-0.054113507,0.022268936
-0.058566086,-0.6975519,-7.963584,0.00012362,-0.053842776,0.022268936
-0.05486373,-0.6465627,-7.9762754,0.014857789,-0.05698568,0.044382356
0.006539926,-0.9994033,-7.975518,0.006295219,-0.050685197,0.023789087
-0.001466095,-0.6870857,-7.980467,-0.002931014,-0.054780103,0.022268936
-0.035742626,-0.9994033,-7.9755373,-0.008670867,-0.04712531,0.030493606
-0.00909492,-0.7879307,-7.963584,0.004761368,-0.048645876,0.04867383
0.13299477,0.097064964,-9.278282,0.02281946,-0.013029094,0.026559632
0.26610374,0.16072333,-9.273625,0.01406312,-0.005280674,0.00846794
0.34834257,0.15523303,-9.278796,-0.0077414,-0.009037267,0.02497621
0.15221502,0.0933092,-9.263014,0.013333365,-0.000363171,0.010710329
0.26753092,0.15749696,-9.263014,0.013198957,-0.003288642,0.017664362
0.21305953,0.12903649,-9.278608,0.01779969,-0.007472456,0.022672959
0.14955075,0.21306458,-9.272027,-0.0077414,-0.011156902,0.021258956
0.34977928,0.21419114,-9.274972,0.007242948,-0.008771867,0.012763536
0.24779443,0.10288442,-9.277966,0.006294966,0.005600415,0.020380132
0.34977928,0.09143323,-9.272046,0.02281946,-0.011592101,0.01473463
0.19099432,0.1787692,-9.274709,-0.0077414,-0.008759718,0.009923521
0.13299477,0.09194631,-9.263014,0.000221923,-0.009424999,0.02691868
0.17896368,0.2136203,-9.263014,0.02281946,-0.012362164,0.031542514
0.14367035,0.23231861,-9.278554,-0.0077414,-0.005444758,0.031542514
0.34977928,0.22637448,-9.270095,-0.0077414,-0.000165991,0.012489565
0.13299477,0.09143323,-9.269433,0.016064495,-0.011937469,0.031542514
0.14994292,0.23231861,-9.278695,0.02281946,0.006342503,0.02223768
0.25855857,0.15135118,-9.278115,0.011043057,0.006342503,0.018140465
0.33944768,0.0939944,-9.276431,-0.001451984,-0.010493308,0.013623461
0.14070447,0.14815095,-9.277038,0.014937744,0.006342503,0.027668644
0.13299477,0.19932139,-9.277953,0.02281946,0.006342503,0.029082345
0.34977928,0.23231861,-9.272808,0.015050814,0.006342503,0.00846794
0.34977928,0.16761187,-9.2717285,-0.004787356,-0.00199794,0.00846794
0.2460994,0.09143323,-9.263014,-0.0077414,-0.004148297,0.00846794
0.25869003,0.21148789,-9.277538,-0.0077414,-0.013029094,0.031542514
-0.23183472,0.21728435,-10.269845,0.020025432,-0.031584583,0.01215611
-0.15616435,0.44584015,-10.2696905,-0.000724175,-0.019182295,0.000676595
-0.16201586,0.34675598,-10.267016,0.028220594,-0.019182295,0.005654044
-0.1117989,0.27621493,-10.271313,-0.000724175,-0.021863438,0.001443785
-0.23183472,0.2504588,-10.270465,0.00968802,-0.034197196,-0.011279724
-0.22653913,0.47923523,-10.270079,0.014110401,-0.029180326,0.013318225
-0.12580565,0.35433543,-10.268306,0.013513356,-0.031236328,0.005700909
-0.19292061,0.19260518,-10.270997,-0.000109568,-0.027686268,0.013318225
-0.16797344,0.19260518,-10.271149,0.029169478,-0.037100945,0.007035807
-0.15329833,0.19260518,-10.269657,0.018573657,-0.035932753,0.013318225
-0.104209706,0.47923523,-10.271529,-0.000724175,-0.019182295,0.004948005
-0.13910535,0.21096745,-10.267016,0.007391423,-0.035954624,-0.002432369
-0.23183472,0.27902704,-10.269769,0.019375637,-0.02496817,-0.011279724
-0.15682259,0.34686562,-10.270762,0.013294548,-0.037100945,0.001671944
-0.16083595,0.42406628,-10.271092,0.002856538,-0.02778092,-0.008709647
-0.23183472,0.47923523,-10.269546,-0.000724175,-0.03063476,0.012614889
-0.15859064,0.31229958,-10.267016,0.025636435,-0.023499344,-0.011279724
-0.104209706,0.47923523,-10.271542,-0.000724175,-0.037100945,-0.011279724
-0.105968565,0.25111902,-10.271577,0.029169478,-0.0198922,-0.011279724
-0.19531754,0.28685465,-10.267016,0.029169478,-0.021435075,0.009150729
-0.1064612,0.47923523,-10.2711,0.015841395,-0.037100945,-0.003914185
-0.23183472,0.20589161,-10.271551,0.028276294,-0.027759973,-0.000835389
-0.2099955,0.33236006,-10.27099,0.001525775,-0.03376529,-0.003612731
-0.104209706,0.38213798,-10.267484,0.010837317,-0.019182295,-0.00194763
-0.104209706,0.3286675,-10.270566,0.018756285,-0.02020124,0.013318225
0.25718227,-0.7097443,-10.920648,0.018143326,-0.008298084,-0.00961211
0.31906375,-0.5991127,-10.921999,0.020731375,-0.002313919,-0.015846763
0.49644187,-0.52008986,-10.921656,0.021474242,-0.011951946,0.005601618
0.39189947,-0.46153325,-10.921786,0.032624856,-0.011951946,0.002118975
0.49644187,-0.5694209,-10.914616,0.006838305,-0.008275013,-0.019027531
0.4065705,-0.85168606,-10.921148,0.02829878,0.010258362,-0.002200853
0.22578463,-0.53347474,-10.9176,0.006838305,0.010258362,-0.019027531
0.3193942,-0.62452775,-10.917459,0.006838305,-0.0072724,-0.001309373
0.30577028,-0.85168606,-10.921983,0.007624298,0.001903512,-0.001458854
0.49644187,-0.85168606,-10.921688,0.011415646,0.010258362,0.005601618
0.22578463,-0.53367776,-10.914616,0.006838305,-0.007917482,-0.008995909
0.39571133,-0.5957739,-10.917177,0.018627614,0.007163301,0.002570063
0.35738268,-0.7294145,-10.921947,0.016789228,0.002437949,-0.019027531
0.22578463,-0.68812233,-10.921517,0.006838305,0.008714415,0.005601618
0.22578463,-0.585697,-10.921971,0.036761135,-0.00795522,-0.019027531
0.49644187,-0.5276421,-10.91938,0.037282616,-0.008567765,-0.004775412
0.37568638,-0.5058105,-10.920787,0.017427802,0.010258362,0.005601618
0.30366114,-0.7332212,-10.92112,0.028941423,0.010258362,-0.012232017
0.40444067,-0.6732159,-10.921237,0.0401033,-0.011951946,-0.008983359
0.34870026,-0.51743644,-10.920724,0.0401033,-0.00425379,0.002834912
0.37923792,-0.46153325,-10.920771,0.0401033,-0.001117498,0.001371805
0.23334028,-0.6682202,-10.921952,0.0401033,-0.007519543,-0.005233027
0.3313502,-0.58266824,-10.920827,0.0401033,0.00223022,-0.018720675
0.42808235,-0.61575335,-10.921071,0.035442352,-0.011951946,-0.019027531
0.24721478,-0.77431756,-10.914616,0.020516515,-0.009713128,-0.009498499
0.000553861,1.1030369,-11.3136215,0.021327406,0.023318112,-0.027767465
0.000553861,1.0588052,-11.312516,0.002419239,0.034699097,-0.010413546
0.067446,0.9061435,-11.308975,0.012925044,0.030188225,-0.012571182
0.000553861,1.1929007,-11.300812,0.002419239,0.023318112,-0.027767465
0.000553861,1.192225,-11.304514,0.013276964,0.060777463,-0.016090084
0.023517676,0.77860856,-11.312734,0.020965382,0.05840657,-0.015196409
0.002912976,1.0265517,-11.313364,0.002419239,0.060777463,-0.01664656
0.013017193,1.2554164,-11.308832,0.020546734,0.030294858,-0.010079753
0.070916936,0.77856636,-11.313554,0.00369291,0.023318112,-0.014493115
0.10372646,0.8713071,-11.306532,0.028176678,0.060777463,-0.027767465
0.04035207,1.2814531,-11.306847,0.028176678,0.026236512,-0.017437652
0.07990888,0.77856636,-11.311888,0.022694975,0.046932653,-0.02772576
0.10372646,0.88056844,-11.313592,0.028176678,0.036941893,-0.008928169
