accel_x,accel_y,gyro_x
0.33151108,0.009144479,1.2660539
0.19999084,-0.28892475,1.1308165
0.1711565,-0.27579868,1.0612425
0.19908838,-0.3535592,1.1247288
0.1206962,-0.4108818,0.99477017
0.073401704,-0.5591077,1.0039248
0.08824386,-0.67698026,0.9444314
0.060792156,-0.51656586,0.95973015
0.084029995,-0.54746205,1.0170839
0.20348378,-0.49307656,1.0228401
0.1593057,-0.56028897,1.0957522
0.2057555,-0.5096055,1.0607324
0.15895697,-0.49243245,1.1062275
0.13760686,-0.59127676,1.1406634
0.21976061,-0.59189534,1.0434048
0.18286072,-0.60962063,1.1170323
0.110158995,-0.6267183,1.1716129
0.08262318,-0.6134994,1.1099042
0.14103886,-0.5399044,1.1761452
0.196613,-0.6128929,1.1698642
0.13710183,-0.6807792,1.1406074
0.23643345,-0.66545236,1.1127876
0.10882445,-0.613089,1.1135232
0.13416755,-0.5450134,1.0926652
0.19513361,-0.46476695,1.0610806
0.76213074,-0.5634751,1.127931
0.64542866,-0.9732201,0.8605586
0.51125467,-1.3631557,0.64734817
0.5720345,-1.6166923,0.5827922
0.5187104,-1.7078009,0.53461486
0.44715172,-1.5312393,0.7193604
0.44044936,-1.4144915,0.71390605
0.42576832,-1.3586168,0.84331656
0.4662987,-1.5257572,0.7448523
0.5902904,-1.4972892,0.79502404
0.58058447,-1.56477,0.8597236
0.62460685,-1.5395644,0.88884443
0.6015583,-1.6792287,0.8129202
0.7202467,-1.6300958,0.85916567
0.55734646,-1.5739627,0.893322
0.4788655,-1.5578209,0.90897137
0.39047217,-1.4644718,0.8826915
0.514469,-1.525535,0.7649607
0.5158723,-1.4230502,0.8648727
0.7235431,-1.6583031,0.700905
0.57776994,-1.6077138,0.8612654
0.5336114,-1.6567129,0.78436345
0.6625184,-1.8572509,0.6250776
0.67014146,-1.7010014,0.75854534
0.6455144,-1.8922943,0.6216725
0.5772311,-0.7249253,0.9362611
0.6148618,-1.343101,0.665803
0.7358208,-2.0738358,0.35638428
0.7780223,-2.571311,0.033556968
0.74554515,-2.771971,-0.05699113
0.77111274,-2.9321976,-0.10765046
0.96075726,-3.4115622,-0.28098643
0.8396218,-3.4290028,-0.18705815
