accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_c_x,gps_c_y,gps_c_z,gps_x,gps_y,gps_z
2.5737822,1.4386758,-2.540123,0.31692594,0.083731204,-0.19743146,0.016355265,0.9859812,-2.4753754,-0.25766823,0.1957002,-2.3661776
2.1371615,1.6887454,-3.103458,0.31111366,0.03708172,0.044872344,0.018941773,0.8947756,-2.237192,-0.27563345,0.10578583,-1.8682246
2.6540585,1.3844167,-2.8745453,0.41220665,0.024712287,-0.06079183,0.018915402,0.8020817,-2.3908262,-0.413954,0.19853386,-2.6646128
2.289418,1.3965658,-3.0556045,0.124758355,0.13179514,0.056235112,0.018966567,1.3628657,-2.8596103,-0.28752714,0.13748637,-2.6646128
2.0856266,1.3844167,-2.8774984,0.41220665,0.024712287,0.056235112,0.01756859,0.6782632,-2.237192,-0.413954,0.1926311,-2.012328
2.462923,2.2718909,-2.9602375,0.21171801,0.07051626,-0.108961836,0.019498544,1.0164287,-2.8596103,-0.25766823,0.11595282,-1.994129
2.6540585,2.2718909,-3.1797357,0.41220665,0.06276075,-0.15877047,0.014747893,1.1438876,-2.3209813,-0.35854465,0.19307655,-2.4960763
2.6540585,1.3844167,-2.435573,0.13310024,0.02535569,0.056235112,0.015182281,0.68299156,-2.730661,-0.38618952,0.19853386,-1.8824153
1.9858154,2.2395866,-3.1797357,0.16638467,0.09006702,-0.30068874,0.014747893,0.8224426,-2.6537948,-0.33919555,0.09683834,-2.2455943
2.6540585,1.6482874,-3.133376,0.13454027,0.090362504,0.056235112,0.01901301,0.9602239,-2.5158446,-0.26096,0.17013651,-2.2551615
1.8979058,1.3844167,-2.8240557,0.14246951,0.07880829,-0.24044591,0.016772551,1.1179299,-2.3597202,-0.413954,0.09763998,-1.8682246
2.0328586,1.9581743,-3.0117147,0.17404239,0.024712287,-0.30068874,0.016951581,0.76375735,-2.8503425,-0.27700746,0.08423503,-2.4397085
2.6359494,1.8392514,-2.7556667,0.23035969,0.124561794,0.04808595,0.01542687,1.3628657,-2.8596103,-0.33597875,0.19853386,-1.8682246
2.6540585,1.5279976,-2.8856442,0.1473766,0.13179514,-0.07307437,0.019498544,1.2071079,-2.2593613,-0.28761694,0.081239775,-2.6646128
2.0016966,2.0479755,-2.7173002,0.17646216,0.077229664,-0.30068874,0.014747893,0.8379149,-2.237192,-0.3740832,0.08313826,-1.9878067
2.4572656,2.0448143,-2.435573,0.41220665,0.0995284,0.042288132,0.019287627,0.9853735,-2.806197,-0.25766823,0.080013804,-2.6646128
1.8979058,1.6005906,-2.7233198,0.14376524,0.024712287,-0.23445275,0.014747893,1.284825,-2.6539052,-0.413954,0.080013804,-1.8682246
1.9969438,2.1975214,-2.435573,0.38811326,0.1236024,-0.30068874,0.017129865,0.6782632,-2.6616492,-0.3202579,0.13436913,-2.256346
2.223353,2.2718909,-2.8165052,0.1541171,0.12157465,-0.11164999,0.01590434,1.3628657,-2.6041121,-0.2920397,0.14629383,-2.1159549
1.8979058,1.8751734,-3.1797357,0.18522188,0.13179514,-0.21967298,0.017868377,0.94684553,-2.5512345,-0.31921405,0.18468106,-2.5495334
2.4922686,2.217245,-2.692057,0.21171428,0.042814277,0.056235112,0.017835112,0.6896373,-2.237192,-0.25766823,0.19853386,-2.3115304
